# Time-averaged data for fix ave_dens
# TimeStep v_dens
16000 0.97974
17000 0.979125
18000 0.978019
19000 0.979594
20000 0.978475
21000 0.978673
22000 0.980657
23000 0.982311
24000 0.983067
25000 0.98323
26000 0.984663
27000 0.984725
28000 0.984633
29000 0.985179
30000 0.984935
31000 0.984723
32000 0.98402
33000 0.984021
