LAMMPS data file via write_data, version 7 Feb 2024, timestep = 200000, units = real

648 atoms
2 atom types
432 bonds
1 bond types
216 angles
1 angle types

-0.006789075591230542 18.65114207559062 xlo xhi
-0.006789075591230542 18.65114207559062 ylo yhi
-0.006789075591230542 18.65114207559062 zlo zhi

Masses

1 15.9994
2 1.008

Pair Coeffs # lj/cut/coul/long

1 0.15535 3.166
2 0 0

Bond Coeffs # harmonic

1 1000 1

Angle Coeffs # harmonic

1 100 109.47

Atoms # full

189 189 1 -0.8476 5.708193660274493 1.7628770249246242 0.7378941462344891 0 1 0
522 153 2 0.4238 5.264771147186778 1.0359906084413757 2.9922154872887576 0 1 0
594 189 2 0.4238 4.930251536530837 2.390945609190639 0.7547528372816684 0 1 0
36 36 1 -0.8476 3.578259540119258 3.2146840480133223 0.1764459488583214 0 1 1
287 36 2 0.4238 3.6164244247066777 3.395985535195683 17.851717019439114 0 1 0
288 36 2 0.4238 2.6247428908740655 3.2096322406247393 0.47765696638363 0 1 1
108 108 1 -0.8476 5.097589569604325 6.033505374593841 0.5395281528618955 0 1 1
432 108 2 0.4238 4.7810093944122505 6.528967214616594 1.3483801018755195 0 1 1
431 108 2 0.4238 4.674355631906979 5.127803990144789 0.5166039949934994 0 1 1
278 31 2 0.4238 0.190753006643277 6.370499387519198 4.5412886890182795 0 0 -1
31 31 1 -0.8476 0.2929220438754536 6.0239736253631 3.6088572757091617 0 0 -1
357 71 2 0.4238 17.863493826690792 2.082051774634891 7.336547140465465 -1 1 0
71 71 1 -0.8476 18.55089269257939 1.582503349151242 6.809402822955182 -1 1 0
203 203 1 -0.8476 0.4245242387511447 4.090422062680374 1.6980350919550893 1 0 1
386 85 2 0.4238 0.9307884052176224 2.4199525259426697 1.8583149478104413 0 1 0
593 189 2 0.4238 6.533325271560435 2.246400051911036 1.0299742600667798 0 1 0
621 203 2 0.4238 0.22230049964607787 4.674164220670816 2.484355089576093 1 0 1
521 153 2 0.4238 5.630352934804816 18.17049948691293 3.4526708321791997 0 0 0
153 153 1 -0.8476 5.354106433111864 0.4184491287173238 3.773630124985758 0 1 0
560 172 2 0.4238 5.235854381333748 1.5607419414978585 5.23478471279269 -1 1 1
172 172 1 -0.8476 5.41859531015348 1.978290493097616 6.124844600183167 -1 1 1
85 85 1 -0.8476 1.2033349702399514 1.469138414693924 1.7112847142297938 0 1 0
277 31 2 0.4238 0.9876005514108162 6.559389995360605 3.128546914297755 0 0 -1
500 142 2 0.4238 2.3069000937382014 3.61450695737021 7.792187194084815 1 2 1
559 172 2 0.4238 6.314926260718724 1.6817508844579236 6.454393725556429 -1 1 1
405 95 2 0.4238 1.644363317641977 0.6918344130892079 7.01175260636368 1 1 0
229 7 2 0.4238 6.614332418976495 3.5091490318353404 4.873617752118943 -1 0 1
7 7 1 -0.8476 7.525399781419171 3.8217609678184514 4.60495960393904 -1 0 1
237 11 2 0.4238 10.433336121564565 1.2306510594031892 5.8485496744219025 0 1 1
11 11 1 -0.8476 9.762241822059291 1.862591869170024 5.460954097504188 0 1 1
238 11 2 0.4238 8.854051491280764 1.6446879006676969 5.818242490481988 0 1 1
232 8 2 0.4238 11.545184565318765 2.157141789342322 1.2147752230357307 -1 0 -1
230 7 2 0.4238 8.21755731171965 3.2909742565485147 5.093969527297436 -1 0 1
308 46 2 0.4238 10.818960757148082 4.8557200083302146 5.279270842952944 0 1 1
206 206 1 -0.8476 10.199786010045706 1.2222942353165367 0.7947224335260239 0 1 1
8 8 1 -0.8476 12.260229435054711 2.8558541906546884 1.2361929039429547 -1 0 -1
491 138 2 0.4238 8.515301141656163 2.7761923690824077 1.3123311757440903 0 1 2
492 138 2 0.4238 7.948639505920848 3.608873165504976 2.597641310389615 0 1 2
231 8 2 0.4238 12.068818341474216 3.550022367834065 0.5423347268771178 -1 0 -1
